Titel;Duration;Band;Album;Genre;Year;Comment
Atomic Devastation;05:22;Abadden;New Wave Of Thrash Metal;Thrash Metal;2015;Mr. Metal
Morgen Auch Nicht;02:12;Abfukk;Aggropunk Vol. 2;Punk Rock;2011;Mr. Metal +
Keine Kompromisse Mehr;02:43;Abfukk;Aggropunk Vol. 3;Punk Rock;2013;Mr. Metal +
Der Henker;03:57;Absurd;Blutgericht ;Black Metal;2005;Mr. Metal +
Die Freiheitskaempfer;03:27;Absurd;Blutgericht ;Black Metal;2005;Mr. Metal
Die Galgenbrueder;04:31;Absurd;Blutgericht ;Black Metal;2005;Mr. Metal
Gottloses Mordgesindel;05:41;Absurd;Blutgericht ;Black Metal;2005;Mr. Metal +
Heidenwut;02:41;Absurd;Blutgericht ;Black Metal;2005;Mr. Metal
Kriegertod;05:15;Absurd;Blutgericht ;Black Metal;2005;Mr. Metal
Sturm Bricht Los;03:28;Absurd;Blutgericht ;Black Metal;2005;Mr. Metal +
Totentanzlied Aus Flandern;04:58;Absurd;Blutgericht ;Black Metal;2005;Mr. Metal +
Winterdaemon;03:13;Absurd;Blutgericht ;Black Metal;2005;Mr. Metal +
Wolfsblut;03:24;Absurd;Blutgericht ;Black Metal;2005;Mr. Metal
Als Die Alten Jung Noch Waren ;02:37;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal
Asgardsrei;03:28;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal
Ashes To Ashes;03:09;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal
Betet Fuer Uns;02:57;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal
Colours Of Autumn;02:14;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal
Der Fuenfzehnjaehrige Krieg ;02:35;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal
Der Grosse Tod ;02:39;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal +
Eternal Winter;04:11;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal
In Des Mondes Blut'gen Schein ;04:37;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal
Landsknechtstrommel ;05:09;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal +
Mourning Soul ;02:03;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal +
Pesttanz ;02:46;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal +
Werwolf ;02:24;Absurd;Der Fuenfzehnjaehrige Krieg;Black Metal;2008;Mr. Metal +
Aufruf Des Schinderhannes;03:32;Absurd;Grimmige Volksmusik;Black Metal;2005;Mr. Metal +
Des Wotans Schwarzer Haufen;04:52;Absurd;Grimmige Volksmusik;Black Metal;2005;Mr. Metal +
